date,order_code,Face_Masks_Required_in_Public,Source_of_Action,Citation,COUNTYFP,1845,index,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS
2020-04-10,1,Yes,Official,"N.J. Exec. Order No. 122 (Apr. 8, 2020)",34003,8928,1775,0.02,0.014,0.053,0.151,0.762
2020-04-11,1,Yes,Official,"N.J. Exec. Order No. 122 (Apr. 8, 2020)",34003,9362,1775,0.02,0.014,0.053,0.151,0.762
2020-04-12,1,Yes,Official,"N.J. Exec. Order No. 122 (Apr. 8, 2020)",34003,9784,1775,0.02,0.014,0.053,0.151,0.762
2020-04-13,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,10092,1775,0.02,0.014,0.053,0.151,0.762
2020-04-14,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,10426,1775,0.02,0.014,0.053,0.151,0.762
2020-04-15,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,10848,1775,0.02,0.014,0.053,0.151,0.762
2020-04-16,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,11409,1775,0.02,0.014,0.053,0.151,0.762
2020-04-17,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,11863,1775,0.02,0.014,0.053,0.151,0.762
2020-04-18,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,12163,1775,0.02,0.014,0.053,0.151,0.762
2020-04-19,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,12639,1775,0.02,0.014,0.053,0.151,0.762
2020-04-20,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,13011,1775,0.02,0.014,0.053,0.151,0.762
2020-04-21,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,13356,1775,0.02,0.014,0.053,0.151,0.762
2020-04-22,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,13686,1775,0.02,0.014,0.053,0.151,0.762
2020-04-23,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,14049,1775,0.02,0.014,0.053,0.151,0.762
2020-04-24,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,14363,1775,0.02,0.014,0.053,0.151,0.762
2020-04-25,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,14738,1775,0.02,0.014,0.053,0.151,0.762
2020-04-26,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,14965,1775,0.02,0.014,0.053,0.151,0.762
2020-04-27,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,15104,1775,0.02,0.014,0.053,0.151,0.762
2020-04-28,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,15251,1775,0.02,0.014,0.053,0.151,0.762
2020-04-29,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,15446,1775,0.02,0.014,0.053,0.151,0.762
2020-04-30,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,15610,1775,0.02,0.014,0.053,0.151,0.762
2020-05-01,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,15832,1775,0.02,0.014,0.053,0.151,0.762
2020-05-02,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,15977,1775,0.02,0.014,0.053,0.151,0.762
2020-05-03,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16188,1775,0.02,0.014,0.053,0.151,0.762
2020-05-04,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16289,1775,0.02,0.014,0.053,0.151,0.762
2020-05-05,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16469,1775,0.02,0.014,0.053,0.151,0.762
2020-05-06,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16529,1775,0.02,0.014,0.053,0.151,0.762
2020-05-07,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16620,1775,0.02,0.014,0.053,0.151,0.762
2020-05-08,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16721,1775,0.02,0.014,0.053,0.151,0.762
2020-05-09,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16816,1775,0.02,0.014,0.053,0.151,0.762
2020-05-10,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16941,1775,0.02,0.014,0.053,0.151,0.762
2020-05-11,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17045,1775,0.02,0.014,0.053,0.151,0.762
2020-05-12,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17110,1775,0.02,0.014,0.053,0.151,0.762
2020-05-13,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17171,1775,0.02,0.014,0.053,0.151,0.762
2020-05-14,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17103,1775,0.02,0.014,0.053,0.151,0.762
2020-05-15,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17221,1775,0.02,0.014,0.053,0.151,0.762
2020-05-16,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17272,1775,0.02,0.014,0.053,0.151,0.762
2020-05-17,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17387,1775,0.02,0.014,0.053,0.151,0.762
2020-05-18,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17487,1775,0.02,0.014,0.053,0.151,0.762
2020-05-19,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17553,1775,0.02,0.014,0.053,0.151,0.762
2020-05-20,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17553,1775,0.02,0.014,0.053,0.151,0.762
2020-05-21,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17621,1775,0.02,0.014,0.053,0.151,0.762
2020-05-22,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17698,1775,0.02,0.014,0.053,0.151,0.762
2020-05-23,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17714,1775,0.02,0.014,0.053,0.151,0.762
2020-05-24,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17851,1775,0.02,0.014,0.053,0.151,0.762
2020-05-25,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17949,1775,0.02,0.014,0.053,0.151,0.762
2020-05-26,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18013,1775,0.02,0.014,0.053,0.151,0.762
2020-05-27,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18076,1775,0.02,0.014,0.053,0.151,0.762
2020-05-28,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18217,1775,0.02,0.014,0.053,0.151,0.762
2020-05-29,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18284,1775,0.02,0.014,0.053,0.151,0.762
2020-05-30,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18273,1775,0.02,0.014,0.053,0.151,0.762
2020-05-31,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18334,1775,0.02,0.014,0.053,0.151,0.762
2020-06-01,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18367,1775,0.02,0.014,0.053,0.151,0.762
2020-06-02,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18406,1775,0.02,0.014,0.053,0.151,0.762
2020-06-03,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18451,1775,0.02,0.014,0.053,0.151,0.762
2020-06-04,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18485,1775,0.02,0.014,0.053,0.151,0.762
2020-06-05,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18541,1775,0.02,0.014,0.053,0.151,0.762
2020-06-06,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18573,1775,0.02,0.014,0.053,0.151,0.762
2020-06-07,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18593,1775,0.02,0.014,0.053,0.151,0.762
2020-06-08,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18625,1775,0.02,0.014,0.053,0.151,0.762
2020-06-09,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18662,1775,0.02,0.014,0.053,0.151,0.762
2020-06-10,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18761,1775,0.02,0.014,0.053,0.151,0.762
2020-06-11,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18814,1775,0.02,0.014,0.053,0.151,0.762
2020-06-12,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18840,1775,0.02,0.014,0.053,0.151,0.762
2020-06-13,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18903,1775,0.02,0.014,0.053,0.151,0.762
2020-06-14,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18919,1775,0.02,0.014,0.053,0.151,0.762
2020-06-15,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18949,1775,0.02,0.014,0.053,0.151,0.762
2020-06-16,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19006,1775,0.02,0.014,0.053,0.151,0.762
2020-06-17,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19034,1775,0.02,0.014,0.053,0.151,0.762
2020-06-18,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19059,1775,0.02,0.014,0.053,0.151,0.762
2020-06-19,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19080,1775,0.02,0.014,0.053,0.151,0.762
