,date,order_code,Face_Masks_Required_in_Public,Source_of_Action,Citation,COUNTYFP,confirmed_cases,index,NEVER,RARELY,SOMETIMES,FREQUENTLY,ALWAYS,rate
0,2020-04-10,1,Yes,Official,"N.J. Exec. Order No. 122 (Apr. 8, 2020)",34003,8928,1775,0.02,0.014,0.053,0.151,0.762,0.0
1,2020-04-11,1,Yes,Official,"N.J. Exec. Order No. 122 (Apr. 8, 2020)",34003,9362,1775,0.02,0.014,0.053,0.151,0.762,0.0
2,2020-04-12,1,Yes,Official,"N.J. Exec. Order No. 122 (Apr. 8, 2020)",34003,9784,1775,0.02,0.014,0.053,0.151,0.762,0.0
3,2020-04-13,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,10092,1775,0.02,0.014,0.053,0.151,0.762,0.0
4,2020-04-14,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,10426,1775,0.02,0.014,0.053,0.151,0.762,0.0
5,2020-04-15,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,10848,1775,0.02,0.014,0.053,0.151,0.762,0.0
6,2020-04-16,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,11409,1775,0.02,0.014,0.053,0.151,0.762,0.0
7,2020-04-17,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,11863,1775,0.02,0.014,0.053,0.151,0.762,0.0
8,2020-04-18,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,12163,1775,0.02,0.014,0.053,0.151,0.762,0.0
9,2020-04-19,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,12639,1775,0.02,0.014,0.053,0.151,0.762,1263.9
10,2020-04-20,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,13011,1775,0.02,0.014,0.053,0.151,0.762,408.3
11,2020-04-21,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,13356,1775,0.02,0.014,0.053,0.151,0.762,399.4
12,2020-04-22,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,13686,1775,0.02,0.014,0.053,0.151,0.762,390.2
13,2020-04-23,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,14049,1775,0.02,0.014,0.053,0.151,0.762,395.7
14,2020-04-24,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,14363,1775,0.02,0.014,0.053,0.151,0.762,393.7
15,2020-04-25,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,14738,1775,0.02,0.014,0.053,0.151,0.762,389.0
16,2020-04-26,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,14965,1775,0.02,0.014,0.053,0.151,0.762,355.6
17,2020-04-27,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,15104,1775,0.02,0.014,0.053,0.151,0.762,324.1
18,2020-04-28,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,15251,1775,0.02,0.014,0.053,0.151,0.762,308.8
19,2020-04-29,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,15446,1775,0.02,0.014,0.053,0.151,0.762,280.7
20,2020-04-30,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,15610,1775,0.02,0.014,0.053,0.151,0.762,259.9
21,2020-05-01,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,15832,1775,0.02,0.014,0.053,0.151,0.762,247.6
22,2020-05-02,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,15977,1775,0.02,0.014,0.053,0.151,0.762,229.1
23,2020-05-03,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16188,1775,0.02,0.014,0.053,0.151,0.762,213.9
24,2020-05-04,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16289,1775,0.02,0.014,0.053,0.151,0.762,192.6
25,2020-05-05,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16469,1775,0.02,0.014,0.053,0.151,0.762,173.1
26,2020-05-06,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16529,1775,0.02,0.014,0.053,0.151,0.762,156.4
27,2020-05-07,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16620,1775,0.02,0.014,0.053,0.151,0.762,151.6
28,2020-05-08,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16721,1775,0.02,0.014,0.053,0.151,0.762,147.0
29,2020-05-09,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16816,1775,0.02,0.014,0.053,0.151,0.762,137.0
30,2020-05-10,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,16941,1775,0.02,0.014,0.053,0.151,0.762,133.1
31,2020-05-11,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17045,1775,0.02,0.014,0.053,0.151,0.762,121.3
32,2020-05-12,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17110,1775,0.02,0.014,0.053,0.151,0.762,113.3
33,2020-05-13,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17171,1775,0.02,0.014,0.053,0.151,0.762,98.3
34,2020-05-14,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17103,1775,0.02,0.014,0.053,0.151,0.762,81.4
35,2020-05-15,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17221,1775,0.02,0.014,0.053,0.151,0.762,75.2
36,2020-05-16,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17272,1775,0.02,0.014,0.053,0.151,0.762,74.3
37,2020-05-17,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17387,1775,0.02,0.014,0.053,0.151,0.762,76.7
38,2020-05-18,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17487,1775,0.02,0.014,0.053,0.151,0.762,76.6
39,2020-05-19,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17553,1775,0.02,0.014,0.053,0.151,0.762,73.7
40,2020-05-20,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17553,1775,0.02,0.014,0.053,0.151,0.762,61.2
41,2020-05-21,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17621,1775,0.02,0.014,0.053,0.151,0.762,57.6
42,2020-05-22,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17698,1775,0.02,0.014,0.053,0.151,0.762,58.8
43,2020-05-23,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17714,1775,0.02,0.014,0.053,0.151,0.762,54.3
44,2020-05-24,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17851,1775,0.02,0.014,0.053,0.151,0.762,74.8
45,2020-05-25,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,17949,1775,0.02,0.014,0.053,0.151,0.762,72.8
46,2020-05-26,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18013,1775,0.02,0.014,0.053,0.151,0.762,74.1
47,2020-05-27,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18076,1775,0.02,0.014,0.053,0.151,0.762,68.9
48,2020-05-28,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18217,1775,0.02,0.014,0.053,0.151,0.762,73.0
49,2020-05-29,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18284,1775,0.02,0.014,0.053,0.151,0.762,73.1
50,2020-05-30,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18273,1775,0.02,0.014,0.053,0.151,0.762,72.0
51,2020-05-31,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18334,1775,0.02,0.014,0.053,0.151,0.762,71.3
52,2020-06-01,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18367,1775,0.02,0.014,0.053,0.151,0.762,66.9
53,2020-06-02,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18406,1775,0.02,0.014,0.053,0.151,0.762,69.2
54,2020-06-03,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18451,1775,0.02,0.014,0.053,0.151,0.762,60.0
55,2020-06-04,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18485,1775,0.02,0.014,0.053,0.151,0.762,53.6
56,2020-06-05,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18541,1775,0.02,0.014,0.053,0.151,0.762,52.8
57,2020-06-06,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18573,1775,0.02,0.014,0.053,0.151,0.762,49.7
58,2020-06-07,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18593,1775,0.02,0.014,0.053,0.151,0.762,37.6
59,2020-06-08,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18625,1775,0.02,0.014,0.053,0.151,0.762,34.1
60,2020-06-09,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18662,1775,0.02,0.014,0.053,0.151,0.762,38.9
61,2020-06-10,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18761,1775,0.02,0.014,0.053,0.151,0.762,42.7
62,2020-06-11,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18814,1775,0.02,0.014,0.053,0.151,0.762,44.7
63,2020-06-12,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18840,1775,0.02,0.014,0.053,0.151,0.762,43.4
64,2020-06-13,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18903,1775,0.02,0.014,0.053,0.151,0.762,45.2
65,2020-06-14,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18919,1775,0.02,0.014,0.053,0.151,0.762,43.4
66,2020-06-15,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,18949,1775,0.02,0.014,0.053,0.151,0.762,40.8
67,2020-06-16,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19006,1775,0.02,0.014,0.053,0.151,0.762,43.3
68,2020-06-17,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19034,1775,0.02,0.014,0.053,0.151,0.762,44.1
69,2020-06-18,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19059,1775,0.02,0.014,0.053,0.151,0.762,43.4
70,2020-06-19,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19080,1775,0.02,0.014,0.053,0.151,0.762,41.8
71,2020-06-20,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19112,1775,0.02,0.014,0.053,0.151,0.762,35.1
72,2020-06-21,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19126,1775,0.02,0.014,0.053,0.151,0.762,31.2
73,2020-06-22,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19158,1775,0.02,0.014,0.053,0.151,0.762,31.8
74,2020-06-23,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19200,1775,0.02,0.014,0.053,0.151,0.762,29.7
75,2020-06-24,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19232,1775,0.02,0.014,0.053,0.151,0.762,31.3
76,2020-06-25,1,Yes,Official,"N.J. Exec. Order No.125 (Apr. 11, 2020)",34003,19307,1775,0.02,0.014,0.053,0.151,0.762,35.8
77,2020-06-26,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19408,1775,0.02,0.014,0.053,0.151,0.762,40.2
78,2020-06-27,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19422,1775,0.02,0.014,0.053,0.151,0.762,38.8
79,2020-06-28,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19501,1775,0.02,0.014,0.053,0.151,0.762,44.2
80,2020-06-29,1,Yes,Official,"N.J. Exec. Order No.157 (June 26, 2020)",34003,19525,1775,0.02,0.014,0.053,0.151,0.762,44.5
