Year,1,2,3,4,5,6,7,8,9,10,11,12,Annual
1895,25.1,21.9,33.6,47.1,60.3,70.7,69.1,71.7,67,47.3,43.1,34,49.2
1896,25.1,28.7,30.6,51.4,64,66.6,73.3,71.7,62.8,49.2,45.5,29.4,49.9
1897,26.8,29.7,37.9,49.2,59.5,65,73.6,69.2,62.9,53.3,41.1,32.7,50.1
1898,29.7,30.4,43.2,46.2,57.2,69.2,73.8,72.7,67.1,54.4,40.2,30.4,51.2
1899,27,24.5,34.9,48.3,60.4,71.2,72.8,70.8,62.2,54.7,41.3,33.6,50.1
1900,28.8,28.2,32.1,49,59.1,69.3,74.6,74.2,67.3,57.2,44.3,31.3,51.3
1901,28.2,22.9,36.1,47.1,57.1,69.6,76.1,71.9,64.5,52.2,35.9,30.5,49.3
1902,25.9,25.6,41.6,48.8,59.1,66.2,71.3,68.7,62.4,53.6,46.6,28.5,49.9
1903,26.9,30.5,45.7,49.5,61.9,62.3,72.6,65.9,63.2,53.5,37.8,26.4,49.7
1904,20.2,21.6,33.9,45.3,62,67.6,71.3,68.7,62.4,49,37.1,24.8,47
1905,24.2,20.7,36.9,48.4,59.6,67.2,74,69.6,63.7,53.1,39.5,34.4,49.3
1906,33.8,28.4,31.5,50,60.3,69.8,72.8,73.2,66.5,52.8,41.1,30.2,50.9
1907,29,20.5,38.4,44,54.4,64.5,72.8,69.4,64.9,48.2,40.6,33.9,48.4
1908,28.6,24.6,38.2,49.1,60.7,69.6,75.4,70.1,65,55.2,40.5,31.9,50.7
1909,29.6,33.9,35.9,47.9,58.8,69.3,71.1,69.1,62.6,49.7,44.3,28.3,50
1910,27.5,27.7,42.4,51.9,59.1,66,74.8,69.2,65.3,55,38,24.8,50.1
1911,30.5,27.8,35.1,45.5,63.6,67.6,75,70.4,64.4,51.6,38.3,35.8,50.5
1912,19.6,25.6,34.5,48.8,61.1,67.3,73,68.5,63.4,55.3,43.4,35.1,49.6
1913,36.9,27.4,42.6,50.4,59.1,68,73.1,70.4,61.8,56.3,43.8,35.8,52.1
1914,27.6,22.2,33.7,46,62.5,67,69.9,71.7,63.5,56.3,40.9,28.8,49.2
1915,30.6,33,34.4,52.9,56.8,65.9,71.4,68.9,66.9,53.9,42.1,29.8,50.6
1916,32,24.8,29.3,46.7,59.4,63.5,73.3,72.3,63.8,53.5,41,30.3,49.2
1917,28.5,24.9,35.7,46.6,52.2,67.8,73.1,73.4,60.3,48.9,37.6,21.7,47.6
1918,17.6,26.1,39.6,48.2,63.5,65.2,71.5,73.3,60.4,55,42.1,35.1,49.8
1919,31.7,31.3,40.9,47.7,60.1,69.2,72.8,68.2,64,56.5,41.1,26.5,50.8
1920,20.6,25.4,37.4,46.2,57,67.4,70.6,71.6,65.3,58.1,40.7,34.3,49.6
1921,30.4,31.1,46.3,55,59.6,69.7,75.5,68.5,68.6,53,41.8,30.3,52.5
1922,24.6,30.8,39.4,49.4,62.2,69.7,71.6,69.9,65,54.7,42.2,30.4,50.8
1923,26.3,23.1,34.8,49.1,58.1,71.1,71.1,69.6,65.3,52.2,41.1,38.9,50.1
1924,29.7,25.8,36.8,46.9,55.5,66.2,71.7,71,60.5,53.4,40.9,30.5,49.1
1925,24.3,34.4,41.2,50.1,56.8,72.3,70.9,70.2,65.5,46.7,39.7,31.8,50.3
1926,28.4,26.2,32.8,44.4,57.9,64.2,72.4,71.4,62.6,50.9,40.7,26.4,48.2
1927,26.9,33.2,40.2,46.6,56.8,65,71.6,65.9,64.5,55.6,45.3,33.1,50.4
1928,30.4,29.8,36.2,45.8,57.1,65.4,73.7,73,61.5,55.2,43.1,35.4,50.6
1929,28.6,29.5,42.7,48.9,59.1,69,72.7,69.1,66.2,50.8,42,31.3,50.8
1930,29.2,33.4,37.7,46.6,61.6,70.8,73.4,70.3,67.8,51.5,42.2,32,51.4
1931,29.2,30.7,38.1,48.9,59.5,69,75.4,72.7,69.2,57.3,48.3,37.4,53
1932,39.7,32.6,34.7,47,59.9,68.2,73,73.2,65.8,54.8,39.5,34.5,51.9
1933,36.3,31.1,35.8,48.7,62.4,70.3,73.3,71.9,66.3,52,37.8,29.6,51.3
1934,31.2,16.4,35,48.2,61.7,71.2,74.6,68.6,65.6,51,45,30.8,49.9
1935,25.4,28,41,47.8,56.7,68,75.5,71.8,61.9,53.6,45.5,27,50.2
1936,24.9,22.1,42.8,45.9,62,67.7,73.4,73.2,65.5,53.9,39.1,35.7,50.5
1937,36.5,31.9,33.8,47.5,61.8,69.3,73.8,74.6,62.6,52.2,41.9,31.3,51.4
1938,27.8,32.2,41,51.4,57.8,67.9,73.5,74.5,61.9,55.4,43.7,33.1,51.7
