,title,lastrevid
42972519,Abdul Ghafar Lakanwal,943562276.0
10483286,Majah Ha Adrif,852404094.0
11966231,Haroon al-Afghani,1095102390.0
46841383,Tayyab Agha,1104998382.0
68624823,Ahmadullah Wasiq,1109361754.0
47805901,Aziza Ahmadyar,1087211008.0
70019038,Muqadasa Ahmadzai,1082489593.0
27664854,Mohammad Sarwar Ahmedzai,1038918070.0
12084570,Amir Muhammad Akhundzada,1069322182.0
22588409,Nasrullah Baryalai Arsalai,1095526840.0
49752089,Mohammad Asim Asim,1013838830.0
45251307,Atiqullah Atifmal,1112407669.0
44482763,Abdul Rahim Ayoubi,1108886061.0
38670742,Alhaj Mutalib Baig,1111494041.0
25153929,Ismael Balkhi,1112534409.0
27428272,Abdul Baqi Turkistani,889226470.0
40960242,Mohammad Ghous Bashiri,1102150221.0
65412901,Abas Basir,1098419766.0
10305348,Jan Baz,997027082.0
35571947,Ahmad Behzad,1103948295.0
27663861,Bashir Ahmad Bezan,1060707209.0
16351100,Rafiullah Bidar,977208323.0
14454477,Mohammad Siddiq Chakari,1105913099.0
24963809,Cheragh Ali Cheragh,1087211968.0
59378987,Nasir Ahmad Durrani,988838315.0
68508979,Elay Ershad,1102489654.0
26835722,Muhammad Hashim Esmatullahi,949986748.0
15842120,Ezatullah (Nangarhar),947885788.0
52438668,Aimal Faizi,1033383351.0
32365015,Mohammad Nasim Faqiri,1098051193.0
32385169,Mohammad Nazar Faqiri,1095525798.0
8054084,Sharif Ghalib,1041460606.0
13368923,Hashmat Ghani Ahmadzai,1112933356.0
29443640,Abdul Ghani Ghani,1072441893.0
404323,Ashraf Ghani,1113195582.0
67448458,Abdul Samad Ghaus,1072271854.0
68918472,Ghulam Ghaus,1109361872.0
25630787,Ghulam Muhammad Ghobar,1108886395.0
26027316,Mohammad Gul (Helmand Council),1092523687.0
32550034,Ghulam Haider Hamidi,1095018556.0
68487239,Rangina Hamidi,1104280812.0
44098744,Abdul Malik Hamwar,1100874645.0
52438868,Sayed Zafar Hashemi,1112804808.0
41835910,Qutbuddin Hilal,1104423275.0
39576119,Shahnaz Himmeti,909966254.0
37963046,Anarkali Kaur Honaryar,1069574154.0
35512380,Mahboba Hoqomal,1092518990.0
8575012,Musa Hotak,1094201417.0
39258771,Mirza Muhammad Ismail,1073524466.0
21500352,Sayed Jalal,1078580238.0
6392185,Said Tayeb Jawad,1093621927.0
45062095,Faizullah Kakar,1108932917.0
42542399,Amin Karim,1106333491.0
27668571,Sayed Jalal Karim,1060701067.0
430417,Ahmed Wali Karzai,1090245979.0
71600382,Khadija Zahra Ahmadi,1115331693.0
5294659,Hafizullah Shabaz Khail,1092416288.0
40495241,Rouh Gul Khairzad,925562571.0
3056711,Masoud Khalili,1103105365.0
45419022,Mohammad Khan (athlete),1070779097.0
7493859,Samoud Khan,1010948755.0
68717703,Farzana Kochai,1079430136.0
34369829,Farida Kuchi,1109436134.0
23672202,Baran Khan Kudezai,1106151353.0
24850187,Azizullah Lodin,1102817004.0
17013397,Razaq Mamoon,1100189662.0
273143,Fazel Ahmed Manawi,1106464575.0
64024293,Moeen Marastial,1102907176.0
51273009,Ahmad Massoud,1112608262.0
34682634,Ahmad Wali Massoud,1108236868.0
24781312,Mohammad Daud Miraki,1112192884.0
68481190,Abdul Sattar Mirzakwal,1044450376.0
