,0
1095102390,"{'articlequality': {'score': {'prediction': 'B', 'probability': {'B': 0.4372459668, 'C': 0.3493904536, 'FA': 0.0708228702, 'GA': 0.0843623043, 'Start': 0.0530231335, 'Stub': 0.0051552715}}}}"
1109361754,"{'articlequality': {'score': {'prediction': 'Start', 'probability': {'B': 0.0536488441, 'C': 0.1384630242, 'FA': 0.0053970859, 'GA': 0.0130366571, 'Start': 0.5950688918, 'Stub': 0.194385497}}}}"
1038918070,"{'articlequality': {'score': {'prediction': 'Start', 'probability': {'B': 0.0671552031, 'C': 0.3042686926, 'FA': 0.0061228301, 'GA': 0.0156111833, 'Start': 0.5748880584, 'Stub': 0.0319540325}}}}"
1069322182,"{'articlequality': {'score': {'prediction': 'Start', 'probability': {'B': 0.1138313694, 'C': 0.101376196, 'FA': 0.0046236601, 'GA': 0.019628283, 'Start': 0.5416807026, 'Stub': 0.2188597891}}}}"
1112407669,"{'articlequality': {'score': {'prediction': 'Start', 'probability': {'B': 0.0525998288, 'C': 0.3905512262, 'FA': 0.0035222922, 'GA': 0.0075517706, 'Start': 0.5328802022, 'Stub': 0.0128946799}}}}"
1111494041,"{'articlequality': {'score': {'prediction': 'Start', 'probability': {'B': 0.0250200221, 'C': 0.0621932266, 'FA': 0.0039447706, 'GA': 0.0097956592, 'Start': 0.5217026949, 'Stub': 0.3773436266}}}}"
1102150221,"{'articlequality': {'score': {'prediction': 'Start', 'probability': {'B': 0.0249751911, 'C': 0.0538837831, 'FA': 0.0036610787, 'GA': 0.0066257233, 'Start': 0.5264060499, 'Stub': 0.3844481739}}}}"
1098419766,"{'articlequality': {'score': {'prediction': 'C', 'probability': {'B': 0.2245100371, 'C': 0.6020965244, 'FA': 0.0147346819, 'GA': 0.093083116, 'Start': 0.058495022, 'Stub': 0.0070806185}}}}"
1060707209,"{'articlequality': {'score': {'prediction': 'Start', 'probability': {'B': 0.0470610947, 'C': 0.1464663233, 'FA': 0.0054414944, 'GA': 0.013906415, 'Start': 0.4182371855, 'Stub': 0.3688874871}}}}"
1105913099,"{'articlequality': {'score': {'prediction': 'Stub', 'probability': {'B': 0.0114541695, 'C': 0.0139893339, 'FA': 0.0022003542, 'GA': 0.0042990321, 'Start': 0.1805476859, 'Stub': 0.7875094245}}}}"
1102489654,"{'articlequality': {'score': {'prediction': 'Stub', 'probability': {'B': 0.0262840332, 'C': 0.0576789065, 'FA': 0.0043452082, 'GA': 0.0114888782, 'Start': 0.4410315632, 'Stub': 0.4591714108}}}}"
949986748,"{'articlequality': {'score': {'prediction': 'Stub', 'probability': {'B': 0.0111367861, 'C': 0.0209817331, 'FA': 0.0023271006, 'GA': 0.0048122373, 'Start': 0.2763426855, 'Stub': 0.6843994574}}}}"
1098051193,"{'articlequality': {'score': {'prediction': 'Start', 'probability': {'B': 0.0727400435, 'C': 0.2409745918, 'FA': 0.0047560606, 'GA': 0.0284823497, 'Start': 0.6278138199, 'Stub': 0.0252331344}}}}"
1041460606,"{'articlequality': {'score': {'prediction': 'B', 'probability': {'B': 0.3687540529, 'C': 0.2697246316, 'FA': 0.0069629524, 'GA': 0.0103341072, 'Start': 0.3253061249, 'Stub': 0.018918131}}}}"
1113195582,"{'articlequality': {'score': {'prediction': 'B', 'probability': {'B': 0.3234652401, 'C': 0.3131574111, 'FA': 0.0759482619, 'GA': 0.2696888688, 'Start': 0.0128904321, 'Stub': 0.0048497859}}}}"
1072271854,"{'articlequality': {'score': {'prediction': 'Stub', 'probability': {'B': 0.0247402721, 'C': 0.0531396277, 'FA': 0.0050770291, 'GA': 0.0103323337, 'Start': 0.3371757026, 'Stub': 0.5695350348}}}}"
1092523687,"{'articlequality': {'score': {'prediction': 'Stub', 'probability': {'B': 0.0053810225, 'C': 0.009099613, 'FA': 0.0010272094, 'GA': 0.0024076844, 'Start': 0.0213351138, 'Stub': 0.9607493568}}}}"
1104280812,"{'articlequality': {'score': {'prediction': 'C', 'probability': {'B': 0.1336654701, 'C': 0.6134266366, 'FA': 0.0068430559, 'GA': 0.120920329, 'Start': 0.1172779313, 'Stub': 0.0078665771}}}}"
1104423275,"{'articlequality': {'score': {'prediction': 'Start', 'probability': {'B': 0.0389645509, 'C': 0.1501379404, 'FA': 0.0059139094, 'GA': 0.0118661328, 'Start': 0.7135329085, 'Stub': 0.0795845581}}}}"
