,42972519,6392185,38160088,32349836,59103818,59225093,66270219,61319752,66901795,42225075,29447701,65632666,61598366,60104316,29948792,70476506,59431150,22747047,41898872,69902603,52080779,39708562,43047944,32069883,50301550,65453403,68410752,11039456,31370455,59919812,64967552,33883266,13539306,57826492,10991232,41099974,71210792,69148398,2419650,65651891,35419899,38467055,55933814,25159696,22813183,68347901,51004375,15873918,40585929,62364601,15058175,29805947,21242736,7718063,68098725,70476149,52066079,68649209,71587044,68732807,68374437,58422838,22576751,70093006,63627220,41685495,65673082,71356911,5808131,2223952,67660770,65517128,40398371,64626956,53181199,39216725,37569194,44572605,40057301,65356695,9796405,2400293,54694081,28427933,24601619,66706277,64496468,70405807,64433229,65562666,27413577,63292085,5351466,18578060,3852927,65791159,57864960,63819831,70344267,55576808,68034784,64893212,53001803,1845905,31841458,48466301,59335828,42539438,34245074,24481991,48988957,66436054,71053485,52467285,22225767,2662096,-1,70447151,14320418,64672063,49180370,63747929,56490526,71279349,57539472,50883476,55788969,55133770,60820244,32635437,32635891,27492789,6412935,69205312,45540280,69399835,8495619,8048470,54964031,4124484,59598498,18381855,66416796,68337567,59472572,40835625,70209163,62321295,7269763,32102626,32102685
pageid,42972519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ns,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
title,Abdul Ghafar Lakanwal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
contentmodel,wikitext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pagelanguage,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pagelanguagehtmlcode,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pagelanguagedir,ltr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
touched,2022-09-26T05:36:04Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lastrevid,943562276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
