name,country,title_name,revision_id,article_quality,region,population,region
Abdul Ghafar Lakanwal,Afghanistan,Abdul Ghafar Lakanwal,943562276,Start,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Ghafar Lakanwal,Afghanistan,Abdul Ghafar Lakanwal,943562276,C,SOUTH ASIA,41.1,SOUTH ASIA
Majah Ha Adrif,Afghanistan,Majah Ha Adrif,852404094,Start,SOUTH ASIA,41.1,SOUTH ASIA
Majah Ha Adrif,Afghanistan,Majah Ha Adrif,852404094,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Haroon al-Afghani,Afghanistan,Haroon al-Afghani,1095102390,B,SOUTH ASIA,41.1,SOUTH ASIA
Haroon al-Afghani,Afghanistan,Haroon al-Afghani,1095102390,Start,SOUTH ASIA,41.1,SOUTH ASIA
Tayyab Agha,Afghanistan,Tayyab Agha,1104998382,Start,SOUTH ASIA,41.1,SOUTH ASIA
Tayyab Agha,Afghanistan,Tayyab Agha,1104998382,Start,SOUTH ASIA,41.1,SOUTH ASIA
Ahmadullah Wasiq,Afghanistan,Ahmadullah Wasiq,1109361754,Start,SOUTH ASIA,41.1,SOUTH ASIA
Ahmadullah Wasiq,Afghanistan,Ahmadullah Wasiq,1109361754,C,SOUTH ASIA,41.1,SOUTH ASIA
Aziza Ahmadyar,Afghanistan,Aziza Ahmadyar,1087211008,Start,SOUTH ASIA,41.1,SOUTH ASIA
Aziza Ahmadyar,Afghanistan,Aziza Ahmadyar,1087211008,Start,SOUTH ASIA,41.1,SOUTH ASIA
Muqadasa Ahmadzai,Afghanistan,Muqadasa Ahmadzai,1082489593,Start,SOUTH ASIA,41.1,SOUTH ASIA
Muqadasa Ahmadzai,Afghanistan,Muqadasa Ahmadzai,1082489593,C,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Sarwar Ahmedzai,Afghanistan,Mohammad Sarwar Ahmedzai,1038918070,Start,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Sarwar Ahmedzai,Afghanistan,Mohammad Sarwar Ahmedzai,1038918070,Start,SOUTH ASIA,41.1,SOUTH ASIA
Amir Muhammad Akhundzada,Afghanistan,Amir Muhammad Akhundzada,1069322182,Start,SOUTH ASIA,41.1,SOUTH ASIA
Amir Muhammad Akhundzada,Afghanistan,Amir Muhammad Akhundzada,1069322182,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Nasrullah Baryalai Arsalai,Afghanistan,Nasrullah Baryalai Arsalai,1095526840,Start,SOUTH ASIA,41.1,SOUTH ASIA
Nasrullah Baryalai Arsalai,Afghanistan,Nasrullah Baryalai Arsalai,1095526840,Start,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Asim Asim,Afghanistan,Mohammad Asim Asim,1013838830,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Asim Asim,Afghanistan,Mohammad Asim Asim,1013838830,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Atiqullah Atifmal,Afghanistan,Atiqullah Atifmal,1112407669,Start,SOUTH ASIA,41.1,SOUTH ASIA
Atiqullah Atifmal,Afghanistan,Atiqullah Atifmal,1112407669,C,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Rahim Ayoubi,Afghanistan,Abdul Rahim Ayoubi,1108886061,Start,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Rahim Ayoubi,Afghanistan,Abdul Rahim Ayoubi,1108886061,Start,SOUTH ASIA,41.1,SOUTH ASIA
Alhaj Mutalib Baig,Afghanistan,Alhaj Mutalib Baig,1111494041,Start,SOUTH ASIA,41.1,SOUTH ASIA
Alhaj Mutalib Baig,Afghanistan,Alhaj Mutalib Baig,1111494041,C,SOUTH ASIA,41.1,SOUTH ASIA
Ismael Balkhi,Afghanistan,Ismael Balkhi,1112534409,Start,SOUTH ASIA,41.1,SOUTH ASIA
Ismael Balkhi,Afghanistan,Ismael Balkhi,1112534409,Start,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Baqi Turkistani,Afghanistan,Abdul Baqi Turkistani,889226470,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Baqi Turkistani,Afghanistan,Abdul Baqi Turkistani,889226470,Start,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Ghous Bashiri,Afghanistan,Mohammad Ghous Bashiri,1102150221,Start,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Ghous Bashiri,Afghanistan,Mohammad Ghous Bashiri,1102150221,C,SOUTH ASIA,41.1,SOUTH ASIA
Abas Basir,Afghanistan,Abas Basir,1098419766,C,SOUTH ASIA,41.1,SOUTH ASIA
Abas Basir,Afghanistan,Abas Basir,1098419766,C,SOUTH ASIA,41.1,SOUTH ASIA
Jan Baz,Afghanistan,Jan Baz,997027082,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Jan Baz,Afghanistan,Jan Baz,997027082,Start,SOUTH ASIA,41.1,SOUTH ASIA
Ahmad Behzad,Afghanistan,Ahmad Behzad,1103948295,Start,SOUTH ASIA,41.1,SOUTH ASIA
Ahmad Behzad,Afghanistan,Ahmad Behzad,1103948295,C,SOUTH ASIA,41.1,SOUTH ASIA
Bashir Ahmad Bezan,Afghanistan,Bashir Ahmad Bezan,1060707209,Start,SOUTH ASIA,41.1,SOUTH ASIA
Bashir Ahmad Bezan,Afghanistan,Bashir Ahmad Bezan,1060707209,C,SOUTH ASIA,41.1,SOUTH ASIA
Rafiullah Bidar,Afghanistan,Rafiullah Bidar,977208323,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Rafiullah Bidar,Afghanistan,Rafiullah Bidar,977208323,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Siddiq Chakari,Afghanistan,Mohammad Siddiq Chakari,1105913099,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Siddiq Chakari,Afghanistan,Mohammad Siddiq Chakari,1105913099,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Cheragh Ali Cheragh,Afghanistan,Cheragh Ali Cheragh,1087211968,Start,SOUTH ASIA,41.1,SOUTH ASIA
Cheragh Ali Cheragh,Afghanistan,Cheragh Ali Cheragh,1087211968,Start,SOUTH ASIA,41.1,SOUTH ASIA
Nasir Ahmad Durrani,Afghanistan,Nasir Ahmad Durrani,988838315,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Nasir Ahmad Durrani,Afghanistan,Nasir Ahmad Durrani,988838315,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Elay Ershad,Afghanistan,Elay Ershad,1102489654,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Elay Ershad,Afghanistan,Elay Ershad,1102489654,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Muhammad Hashim Esmatullahi,Afghanistan,Muhammad Hashim Esmatullahi,949986748,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Muhammad Hashim Esmatullahi,Afghanistan,Muhammad Hashim Esmatullahi,949986748,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Ezatullah (Nangarhar),Afghanistan,Ezatullah (Nangarhar),947885788,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Ezatullah (Nangarhar),Afghanistan,Ezatullah (Nangarhar),947885788,B,SOUTH ASIA,41.1,SOUTH ASIA
Aimal Faizi,Afghanistan,Aimal Faizi,1033383351,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Aimal Faizi,Afghanistan,Aimal Faizi,1033383351,C,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Nasim Faqiri,Afghanistan,Mohammad Nasim Faqiri,1098051193,Start,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Nasim Faqiri,Afghanistan,Mohammad Nasim Faqiri,1098051193,Start,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Nazar Faqiri,Afghanistan,Mohammad Nazar Faqiri,1095525798,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Nazar Faqiri,Afghanistan,Mohammad Nazar Faqiri,1095525798,C,SOUTH ASIA,41.1,SOUTH ASIA
Sharif Ghalib,Afghanistan,Sharif Ghalib,1041460606,B,SOUTH ASIA,41.1,SOUTH ASIA
Sharif Ghalib,Afghanistan,Sharif Ghalib,1041460606,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Hashmat Ghani Ahmadzai,Afghanistan,Hashmat Ghani Ahmadzai,1112933356,C,SOUTH ASIA,41.1,SOUTH ASIA
Hashmat Ghani Ahmadzai,Afghanistan,Hashmat Ghani Ahmadzai,1112933356,C,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Ghani Ghani,Afghanistan,Abdul Ghani Ghani,1072441893,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Ghani Ghani,Afghanistan,Abdul Ghani Ghani,1072441893,Start,SOUTH ASIA,41.1,SOUTH ASIA
Ashraf Ghani,Afghanistan,Ashraf Ghani,1113195582,B,SOUTH ASIA,41.1,SOUTH ASIA
Ashraf Ghani,Afghanistan,Ashraf Ghani,1113195582,Start,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Samad Ghaus,Afghanistan,Abdul Samad Ghaus,1072271854,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Samad Ghaus,Afghanistan,Abdul Samad Ghaus,1072271854,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Ghulam Ghaus,Afghanistan,Ghulam Ghaus,1109361872,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Ghulam Ghaus,Afghanistan,Ghulam Ghaus,1109361872,Start,SOUTH ASIA,41.1,SOUTH ASIA
Ghulam Muhammad Ghobar,Afghanistan,Ghulam Muhammad Ghobar,1108886395,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Ghulam Muhammad Ghobar,Afghanistan,Ghulam Muhammad Ghobar,1108886395,Start,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Gul (Helmand Council),Afghanistan,Mohammad Gul (Helmand Council),1092523687,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Mohammad Gul (Helmand Council),Afghanistan,Mohammad Gul (Helmand Council),1092523687,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Ghulam Haider Hamidi,Afghanistan,Ghulam Haider Hamidi,1095018556,Start,SOUTH ASIA,41.1,SOUTH ASIA
Ghulam Haider Hamidi,Afghanistan,Ghulam Haider Hamidi,1095018556,Start,SOUTH ASIA,41.1,SOUTH ASIA
Rangina Hamidi,Afghanistan,Rangina Hamidi,1104280812,C,SOUTH ASIA,41.1,SOUTH ASIA
Rangina Hamidi,Afghanistan,Rangina Hamidi,1104280812,Start,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Malik Hamwar,Afghanistan,Abdul Malik Hamwar,1100874645,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Abdul Malik Hamwar,Afghanistan,Abdul Malik Hamwar,1100874645,C,SOUTH ASIA,41.1,SOUTH ASIA
Sayed Zafar Hashemi,Afghanistan,Sayed Zafar Hashemi,1112804808,Start,SOUTH ASIA,41.1,SOUTH ASIA
Sayed Zafar Hashemi,Afghanistan,Sayed Zafar Hashemi,1112804808,Start,SOUTH ASIA,41.1,SOUTH ASIA
Qutbuddin Hilal,Afghanistan,Qutbuddin Hilal,1104423275,Start,SOUTH ASIA,41.1,SOUTH ASIA
Qutbuddin Hilal,Afghanistan,Qutbuddin Hilal,1104423275,Start,SOUTH ASIA,41.1,SOUTH ASIA
Shahnaz Himmeti,Afghanistan,Shahnaz Himmeti,909966254,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Shahnaz Himmeti,Afghanistan,Shahnaz Himmeti,909966254,Start,SOUTH ASIA,41.1,SOUTH ASIA
Anarkali Kaur Honaryar,Afghanistan,Anarkali Kaur Honaryar,1069574154,Start,SOUTH ASIA,41.1,SOUTH ASIA
Anarkali Kaur Honaryar,Afghanistan,Anarkali Kaur Honaryar,1069574154,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Mahboba Hoqomal,Afghanistan,Mahboba Hoqomal,1092518990,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Mahboba Hoqomal,Afghanistan,Mahboba Hoqomal,1092518990,Start,SOUTH ASIA,41.1,SOUTH ASIA
Musa Hotak,Afghanistan,Musa Hotak,1094201417,Start,SOUTH ASIA,41.1,SOUTH ASIA
Musa Hotak,Afghanistan,Musa Hotak,1094201417,Start,SOUTH ASIA,41.1,SOUTH ASIA
Mirza Muhammad Ismail,Afghanistan,Mirza Muhammad Ismail,1073524466,C,SOUTH ASIA,41.1,SOUTH ASIA
Mirza Muhammad Ismail,Afghanistan,Mirza Muhammad Ismail,1073524466,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Sayed Jalal,Afghanistan,Sayed Jalal,1078580238,Start,SOUTH ASIA,41.1,SOUTH ASIA
Sayed Jalal,Afghanistan,Sayed Jalal,1078580238,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Said Tayeb Jawad,Afghanistan,Said Tayeb Jawad,1093621927,C,SOUTH ASIA,41.1,SOUTH ASIA
Said Tayeb Jawad,Afghanistan,Said Tayeb Jawad,1093621927,Start,SOUTH ASIA,41.1,SOUTH ASIA
Faizullah Kakar,Afghanistan,Faizullah Kakar,1108932917,C,SOUTH ASIA,41.1,SOUTH ASIA
Faizullah Kakar,Afghanistan,Faizullah Kakar,1108932917,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Amin Karim,Afghanistan,Amin Karim,1106333491,C,SOUTH ASIA,41.1,SOUTH ASIA
Amin Karim,Afghanistan,Amin Karim,1106333491,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Sayed Jalal Karim,Afghanistan,Sayed Jalal Karim,1060701067,Start,SOUTH ASIA,41.1,SOUTH ASIA
Sayed Jalal Karim,Afghanistan,Sayed Jalal Karim,1060701067,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Ahmed Wali Karzai,Afghanistan,Ahmed Wali Karzai,1090245979,GA,SOUTH ASIA,41.1,SOUTH ASIA
Ahmed Wali Karzai,Afghanistan,Ahmed Wali Karzai,1090245979,Stub,SOUTH ASIA,41.1,SOUTH ASIA
Khadija Zahra Ahmadi,Afghanistan,Khadija Zahra Ahmadi,1115331693,Stub,SOUTH ASIA,41.1,SOUTH ASIA
