,project,article,granularity,timestamp,access,agent,views
55,en.wikipedia,Nigersaurus,monthly,2020020100,mobile-web,user,233924
70,en.wikipedia,Deinocheirus,monthly,2021050100,mobile-web,user,228922
67,en.wikipedia,Achelousaurus,monthly,2021020100,desktop,user,205150
68,en.wikipedia,Achelousaurus,monthly,2021030100,desktop,user,202780
54,en.wikipedia,Nigersaurus,monthly,2020010100,mobile-web,user,198864
67,en.wikipedia,Nigersaurus,monthly,2021020100,mobile-web,user,173229
69,en.wikipedia,Achelousaurus,monthly,2021040100,desktop,user,155998
70,en.wikipedia,Achelousaurus,monthly,2021050100,desktop,user,155569
83,en.wikipedia,Giganotosaurus,monthly,2022060100,mobile-web,user,154393
83,en.wikipedia,Therizinosaurus,monthly,2022060100,mobile-web,user,146164
72,en.wikipedia,Achelousaurus,monthly,2021070100,desktop,user,144635
68,en.wikipedia,Achelousaurus,monthly,2021030100,mobile-web,user,140414
0,en.wikipedia,Velociraptor,monthly,2015070100,mobile-web,user,137803
0,en.wikipedia,Velociraptor,monthly,2015070100,desktop,user,135741
67,en.wikipedia,Achelousaurus,monthly,2021020100,mobile-web,user,133100
35,en.wikipedia,Tyrannosaurus,monthly,2018060100,mobile-web,user,132621
71,en.wikipedia,Achelousaurus,monthly,2021060100,desktop,user,130098
73,en.wikipedia,Achelousaurus,monthly,2021080100,desktop,user,125772
35,en.wikipedia,Velociraptor,monthly,2018060100,mobile-web,user,122802
36,en.wikipedia,Velociraptor,monthly,2018070100,mobile-web,user,117475
25,en.wikipedia,Borealopelta,monthly,2019090100,mobile-web,user,115782
36,en.wikipedia,Tyrannosaurus,monthly,2018070100,mobile-web,user,112264
70,en.wikipedia,Achelousaurus,monthly,2021050100,mobile-web,user,111657
83,en.wikipedia,Tyrannosaurus,monthly,2022060100,mobile-web,user,110102
0,en.wikipedia,Tyrannosaurus,monthly,2015070100,mobile-web,user,109161
0,en.wikipedia,Tyrannosaurus,monthly,2015070100,desktop,user,107257
0,en.wikipedia,Halszkaraptor,monthly,2017120100,desktop,user,103251
72,en.wikipedia,Achelousaurus,monthly,2021070100,mobile-web,user,101317
69,en.wikipedia,Achelousaurus,monthly,2021040100,mobile-web,user,96772
35,en.wikipedia,Tyrannosaurus,monthly,2018060100,desktop,user,87514
73,en.wikipedia,Achelousaurus,monthly,2021080100,mobile-web,user,87223
71,en.wikipedia,Achelousaurus,monthly,2021060100,mobile-web,user,84981
84,en.wikipedia,Giganotosaurus,monthly,2022070100,mobile-web,user,84863
84,en.wikipedia,Tyrannosaurus,monthly,2022070100,mobile-web,user,83778
17,en.wikipedia,Argentinosaurus,monthly,2016120100,mobile-web,user,78020
10,en.wikipedia,Tyrannosaurus,monthly,2016050100,mobile-web,user,75668
83,en.wikipedia,Dilophosaurus,monthly,2022060100,mobile-web,user,73761
69,en.wikipedia,Tyrannosaurus,monthly,2021040100,mobile-web,user,73582
83,en.wikipedia,Velociraptor,monthly,2022060100,mobile-web,user,71847
36,en.wikipedia,Spinosaurus,monthly,2018070100,mobile-web,user,71739
61,en.wikipedia,Tyrannosaurus,monthly,2020080100,mobile-web,user,70896
8,en.wikipedia,Velociraptor,monthly,2016030100,desktop,user,70521
60,en.wikipedia,Brontosaurus,monthly,2020070100,mobile-web,user,68908
85,en.wikipedia,Tyrannosaurus,monthly,2022080100,mobile-web,user,68645
57,en.wikipedia,Tyrannosaurus,monthly,2020040100,mobile-web,user,68599
0,en.wikipedia,Spinosaurus,monthly,2015070100,mobile-web,user,68535
85,en.wikipedia,Achelousaurus,monthly,2022080100,desktop,user,68074
84,en.wikipedia,Therizinosaurus,monthly,2022070100,mobile-web,user,66544
3,en.wikipedia,Tyrannosaurus,monthly,2015100100,desktop,user,66527
